pk,user,connections
44,"[906578027634741248, 'anosognosically']","[[1266821924824535045, 'apex_simmaps'], [1222722488838131712, 'EntrepreneurVyl'], [38991268, 'PreCursorPoets'], [52479169, 'kingdra69'], [1218490040910860288, '11kilobytes'], [984632708042248192, 'deplurabel']]"
45,"[1242465959660716032, 'Aphorikles']","[[1310803816921485312, 'foreign_objekt'], [1284388366608465922, 'ClaraCianfer'], [1346333668923506688, 'altycoco'], [1297388227708551168, 'troutfishfarms']]"
46,"[519445480, 'Michelle_94330']",[]
47,"[1218490040910860288, '11kilobytes']","[[1308116366013030400, 'subjacentish'], [626553915, 'camillococcia'], [963635491349450752, 'pictorangelicvs'], [1264299313867436032, 'nameandnoun'], [906578027634741248, 'anosognosically'], [901273371517865984, 'finklescronk']]"
48,"[1229927981902155790, 'SystemofSystem3']","[[1284887976787554304, 'BForona'], [1319499883573698560, 'fairbanks_paru'], [1317778416184119301, 'dikaiopolis_2'], [1239827829593976833, 'cuckscape'], [963635491349450752, 'pictorangelicvs'], [1266821924824535045, 'apex_simmaps'], [1292583899793690626, 'BombRenewable'], [982739657996648448, 'ivanspastic']]"
50,"[1136760209332940800, 'zeropointficti1']","[[1264299313867436032, 'nameandnoun'], [1126866280672301057, 'BRYeager']]"
51,"[892945729643302912, 'kalanjiia']",[]
52,"[847310106735779841, 'sansolidaire']","[[1284388366608465922, 'ClaraCianfer']]"
53,"[1336415096109756418, 'abelianraisin']",[]
54,"[1308116366013030400, 'subjacentish']","[[15663872, 'maskoficarus'], [1092087614763610113, 'paintedWRLD'], [1262709104176324608, 'dreamatthewheel'], [984632708042248192, 'deplurabel'], [1266821924824535045, 'apex_simmaps'], [1146240788, 'MBComerford'], [65303615, 'duncanreyburn'], [1218490040910860288, '11kilobytes'], [1264299313867436032, 'nameandnoun']]"
55,"[1130599297425104898, 'willplombardo']","[[988185926, 'maestrojmc'], [1146240788, 'MBComerford']]"
56,"[1284388366608465922, 'ClaraCianfer']","[[1263208647137669122, 'ARBOR20K'], [1297388227708551168, 'troutfishfarms'], [984632708042248192, 'deplurabel'], [847310106735779841, 'sansolidaire'], [1242465959660716032, 'Aphorikles'], [1272280595431817223, 'toserendip'], [1146240788, 'MBComerford'], [1315911990620102658, 'henryjwallis'], [1317778416184119301, 'dikaiopolis_2'], [1310803816921485312, 'foreign_objekt'], [1234212400112553989, 'unhappyautomata'], [963635491349450752, 'pictorangelicvs'], [988185926, 'maestrojmc'], [38991268, 'PreCursorPoets'], [238545576, 'wretched_worm'], [953742587088834560, 'stHughMungus'], [626553915, 'camillococcia'], [17275161, 'Rahmeljackson'], [905410644958117889, 'samuelmartinuk'], [1264299313867436032, 'nameandnoun'], [253777771, 'sexdeathrebirth'], [65303615, 'duncanreyburn'], [2627820127, 'hadalcritter']]"
