pk,uid,connections
141,478319089,[]
142,1969204292,[]
143,1114975081212600320,"['1002206262', '1878174157', '1343665394809245698', '1109530912511983616', '900458712636280833', '1297388227708551168', '17239228', '4181685500', '1242465959660716032', '1170446364192444424', '1250112923034411011', '1032020371615174656', '1000723954783301632', '1204229532548419585', '2821134268', '785905069367537664', '3047561660', '1269421667819937792', '16959216', '1156874592440524800', '184469967', '1266898602863071240', '2288820930', '1206201712312238081', '2634504171', '1076058720985993217', '1290338574500388865', '1256935111376998401', '169389686', '1271097527673122816', '1146240788', '973343660006817792', '1252248173654966274', '1347446384']"
144,911325692226412544,"['1146240788', '1279445681380483073', '1209625640451874817', '61893435', '3920289735']"
145,1189344488382222336,[]
146,3920289735,"['1291858361714188289', '1339812393224871936', '61893435', '1315268880336670720', '5943622', '914155890349150208', '25945732', '1158386372605952000', '1297482875990925312', '1010711915000225795', '876276781338296320', '1014652279528435713', '835127018916212740', '16959216', '799750243579359233', '844356595735781376', '1209625640451874817', '3331627803', '888546253071679488', '1083942483745300481', '796456205329657856']"
147,1247427032033755140,[]
148,1348483657158168578,[]
149,1116737761560625152,[]
150,794341975205912576,[]
151,597183777,[]
152,1436578262,['927797192819032064']
153,1218430910627897344,[]
154,1289102086538493952,[]
155,717856851036123137,[]
156,1247278211286929419,['858396196922109956']
157,25239301,[]
158,1320846991417552896,['841753319139905536']
159,2189667499,[]
160,1110989422005309442,[]
161,1330625638084984832,[]
162,799750243579359233,[]
163,1196145409841909766,[]
164,1289086637390135302,[]
165,1204229532548419585,['1202368997687275521']
166,890438559030816768,['788853282651443201']
167,165659955,[]
168,1189761987288264704,[]
169,1351326369762979847,"['71100930', '1109530912511983616', '455261114', '1348079207289663489', '622122109', '979205894', '1212352198354407424', '1234545691046924288', '16959216', '702143152992313344', '1285264282133786626', '1266898602863071240', '1274548455248203777', '1010914093992210433', '1228902931241455617', '1194190682396577792', '2399848226', '408848541', '233778709', '1242465012423118851', '1319348416938496005', '890438559030816768', '937845833843822592', '1570774003', '1289102086538493952', '23959470']"
170,1183844114309107713,['1287873982482526208']
171,1262905798700732419,[]
172,235027782,[]
173,739275363767881728,[]
174,1046774666688368640,['1137491888561217536']
175,265810704,[]
176,2435767106,[]
177,1264870567,[]
178,1285377900766789639,['3996216977']
179,1009133699332370433,[]
180,1666137794,[]
181,1206766617222209538,[]
182,1726953288,['1146240788']
183,1237394911,[]
184,14453723,[]
185,356249643,"['1246583737124519938', '1242465959660716032', '1146240788', '1262709104176324608', '25945732', '1297388227708551168']"
186,2314795644,[]
187,1082512795046998016,[]
188,271765772,[]
189,1266295273069768705,[]
190,381766256,"['2962293341', '937556413898883074', '836469832493080576', '288644170', '22936656', '1198090642959872000', '829876037819445248', '2821134268', '1034086647321821184', '165252927', '2451850303', '1105923286502965249', '1037127516354277376', '965828495925379072', '1218430910627897344', '1235653433627197442', '1878174157', '1002206262', '27524557', '1098402457816727552', '1006574408', '35678580', '21134585', '338144421', '876276781338296320', '1257922300923588611', '984247159066214400', '2884767580', '1116737761560625152', '1055913264129880064', '1148084312429871104', '169389686', '1086093637593845761', '126856720', '3784625243', '913897460', '1237394911', '1204229532548419585', '923417736943980544', '1137491888561217536', '1229495549897953280', '1465434768', '1245887938317234176', '1257773348056174593', '25945732', '1034983920314593280', '882524476335771649', '702143152992313344', '3084237105', '3010389594', '1001965286348607488', '1113183169644298246', '874741267', '999858809295155200', '18494897', '36175896', '2709722797', '842796176', '972551389175013376', '1141593358097440768', '34412958']"
191,1186520381101756417,[]
192,2668783433,[]
193,1240272779360047105,[]
194,1067590375026634752,[]
195,1055913264129880064,['1202368997687275521']
196,116297007,['1146240788']
197,757643450175066112,[]
198,999858809295155200,['1878174157']
199,785905069367537664,"['1256935111376998401', '1146240788', '1076058720985993217', '1309055787571044352', '1114975081212600320', '455261114']"
200,1248584082445029381,"['16959216', '1209625640451874817', '1878174157', '1290338574500388865', '1252248173654966274', '1199129271220002816', '2288820930']"
201,1607235090,['853605980']
202,1271236254592454662,['1146240788']
203,1349823231641862144,[]
204,4701504852,"['3784625243', '16959216', '1108119684098879488', '958816783942717440', '1199129271220002816', '1186520381101756417', '1235653433627197442', '22936656', '2288820930']"
205,3120558549,[]
206,87792705,[]
207,784432271038226432,[]
208,712852006633914369,[]
209,1144666675809177600,"['1235653433627197442', '1878174157']"
210,169389686,"['1137491888561217536', '1235653433627197442', '2837489893', '1290338574500388865', '940822013756760066', '4181685500', '858396196922109956', '1013510641322258432', '1916122094', '1143509667336916992', '184469967', '423999623', '3300975598', '702143152992313344', '1114975081212600320', '1229495549897953280']"
211,2964391345,[]
212,984247159066214400,['2204609910']
213,1000723954783301632,['1114975081212600320']
214,2906262687,[]
215,1178723128320647174,[]
216,1235044580480946176,['469026872']
217,1153206843658784770,[]
218,1269421667819937792,"['2634504171', '25945732', '5943622']"
219,1324042134782058498,[]
220,937845833843822592,['1146240788']
221,1022281503152062469,"['3331627803', '1878174157', '1309055787571044352', '1202717900483772422', '706394380039544833', '702143152992313344']"
222,4675943239,['3010389594']
223,1198715943859429377,[]
224,1202717900483772422,"['1287873982482526208', '858396196922109956', '1022281503152062469']"
